,Image,Date,Map,Opponent,Duration,GameState,Paused,Hero 1,Accuracy 1,Ult_Charge 1,Hero 2,Accuracy 2,Ult_Charge 2,Hero 3,Accuracy 3,Ult_Charge 3,Hero 4,Accuracy 4,Ult_Charge 4,Hero 5,Accuracy 5,Ult_Charge 5,Hero 6,Accuracy 6,Ult_Charge 6,Hero 7,Accuracy 7,Ult_Charge 7,Hero 8,Accuracy 8,Ult_Charge 8,Hero 9,Accuracy 9,Ult_Charge 9,Hero 10,Accuracy 10,Ult_Charge 10,Hero 11,Accuracy 11,Ult_Charge 11,Hero 12,Accuracy 12,Ult_Charge 12
0,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/15.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,lobby,live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/2190.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,charged
2,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/2205.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,charged
3,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/2430.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,unknownhero,-1,,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,uncharged,unknownhero,-1,,unknownhero,-1,,unknownhero,-1,charged
4,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/2445.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged
5,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/4830.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,reinhardt,0.984043300151825,uncharged,dva,0.9994754195213318,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,unknownhero,-1,uncharged,reinhardt,0.9604543447494507,uncharged,symmetra,0.9960241317749023,uncharged,zarya,0.9775166511535645,uncharged,brig,0.9472916126251221,uncharged,lucio,0.9944714307785034,uncharged,genji,0.9513604044914246,uncharged
6,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/4905.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,reinhardt,0.984043300151825,uncharged,dva,0.9994754195213318,uncharged,unknownhero,-1,uncharged,brig,0.9998691082000732,uncharged,unknownhero,-1,uncharged,zenyatta,0.9955877065658569,uncharged,reinhardt,0.9604543447494507,uncharged,symmetra,0.9960241317749023,uncharged,zarya,0.9775166511535645,uncharged,brig,0.9472916126251221,uncharged,lucio,0.9944714307785034,uncharged,genji,0.9513604044914246,uncharged
7,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/5055.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,reinhardt,0.984043300151825,uncharged,dva,0.9994754195213318,uncharged,unknownhero,-1,uncharged,brig,0.9998691082000732,uncharged,lucio,0.9976636171340942,uncharged,zenyatta,0.9955877065658569,uncharged,reinhardt,0.9604543447494507,uncharged,symmetra,0.9960241317749023,uncharged,zarya,0.9775166511535645,uncharged,brig,0.9472916126251221,uncharged,lucio,0.9944714307785034,uncharged,genji,0.9513604044914246,uncharged
8,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/6015.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,reinhardt,0.984043300151825,uncharged,dva,0.9994754195213318,uncharged,zarya,0.9776439070701599,uncharged,brig,0.9998691082000732,uncharged,lucio,0.9976636171340942,uncharged,zenyatta,0.9955877065658569,uncharged,reinhardt,0.9604543447494507,uncharged,symmetra,0.9960241317749023,uncharged,zarya,0.9775166511535645,uncharged,brig,0.9472916126251221,uncharged,lucio,0.9944714307785034,uncharged,genji,0.9513604044914246,uncharged
9,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/6150.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,reinhardt,0.984043300151825,uncharged,dva,0.9994754195213318,uncharged,zarya,0.9776439070701599,uncharged,brig,0.9998691082000732,uncharged,lucio,0.9976636171340942,uncharged,zenyatta,0.9955877065658569,uncharged,reinhardt,0.9604543447494507,uncharged,symmetra,0.9960241317749023,uncharged,zarya,0.9775166511535645,uncharged,brig,0.9472916126251221,uncharged,lucio,0.9944714307785034,uncharged,zenyatta,0.9442254304885864,uncharged
10,vod_data/18.03.2019+SF+vs+NRG+HOLLYWOOD/7380.jpg,03/18/2019,HOLLYWOOD,NRG,0.0,ingame,live,reinhardt,0.984043300151825,uncharged,dva,0.9994754195213318,uncharged,zarya,0.9776439070701599,uncharged,brig,0.9998691082000732,uncharged,lucio,0.9976636171340942,uncharged,zenyatta,0.9955877065658569,uncharged,reinhardt,0.9604543447494507,uncharged,dva,0.9978524446487427,uncharged,zarya,0.9775166511535645,uncharged,brig,0.9472916126251221,uncharged,lucio,0.9944714307785034,uncharged,zenyatta,0.9442254304885864,uncharged
