,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
0,vod_data/01.04.2019+SF+vs+DAL+BUSAN/15.jpg,"[['baptiste', 0.44502824544906616]]","[['baptiste', 0.44502824544906616]]",['no kill'],['no kill']
1,vod_data/01.04.2019+SF+vs+DAL+BUSAN/30.jpg,"[['symmetra', 0.9438451528549194]]","[['symmetra', 0.9438451528549194]]",['no kill'],['no kill']
2,vod_data/01.04.2019+SF+vs+DAL+BUSAN/45.jpg,"[['symmetra', 0.9453681707382202]]","[['symmetra', 0.9453681707382202]]",['no kill'],['no kill']
3,vod_data/01.04.2019+SF+vs+DAL+BUSAN/60.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
4,vod_data/01.04.2019+SF+vs+DAL+BUSAN/75.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
5,vod_data/01.04.2019+SF+vs+DAL+BUSAN/90.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
6,vod_data/01.04.2019+SF+vs+DAL+BUSAN/105.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
7,vod_data/01.04.2019+SF+vs+DAL+BUSAN/120.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
8,vod_data/01.04.2019+SF+vs+DAL+BUSAN/135.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
9,vod_data/01.04.2019+SF+vs+DAL+BUSAN/150.jpg,"[['symmetra', 0.9456572532653809]]","[['symmetra', 0.9456572532653809]]",['no kill'],['no kill']
10,vod_data/01.04.2019+SF+vs+DAL+BUSAN/165.jpg,"[['widow', 0.3078717589378357]]","[['widow', 0.3078717589378357]]",['no kill'],['no kill']
11,vod_data/01.04.2019+SF+vs+DAL+BUSAN/180.jpg,"[['widow', 0.3095456659793854]]","[['widow', 0.3095456659793854]]",['no kill'],['no kill']
12,vod_data/01.04.2019+SF+vs+DAL+BUSAN/195.jpg,"[['widow', 0.4044145345687866]]","[['widow', 0.4044145345687866]]",['no kill'],['no kill']
13,vod_data/01.04.2019+SF+vs+DAL+BUSAN/210.jpg,"[['widow', 0.3933045268058777]]","[['widow', 0.3933045268058777]]",['no kill'],['no kill']
14,vod_data/01.04.2019+SF+vs+DAL+BUSAN/225.jpg,"[['widow', 0.4160976707935333]]","[['widow', 0.4160976707935333]]",['no kill'],['no kill']
15,vod_data/01.04.2019+SF+vs+DAL+BUSAN/240.jpg,"[['widow', 0.41837844252586365]]","[['widow', 0.41837844252586365]]",['no kill'],['no kill']
16,vod_data/01.04.2019+SF+vs+DAL+BUSAN/255.jpg,"[['widow', 0.42214101552963257]]","[['widow', 0.42214101552963257]]",['no kill'],['no kill']
17,vod_data/01.04.2019+SF+vs+DAL+BUSAN/270.jpg,"[['widow', 0.41281890869140625]]","[['widow', 0.41281890869140625]]",['no kill'],['no kill']
18,vod_data/01.04.2019+SF+vs+DAL+BUSAN/285.jpg,"[['widow', 0.412890762090683]]","[['widow', 0.412890762090683]]",['no kill'],['no kill']
19,vod_data/01.04.2019+SF+vs+DAL+BUSAN/300.jpg,"[['widow', 0.41303715109825134]]","[['widow', 0.41303715109825134]]",['no kill'],['no kill']
20,vod_data/01.04.2019+SF+vs+DAL+BUSAN/315.jpg,"[['widow', 0.4128231704235077]]","[['widow', 0.4128231704235077]]",['no kill'],['no kill']
21,vod_data/01.04.2019+SF+vs+DAL+BUSAN/330.jpg,"[['widow', 0.41376301646232605]]","[['widow', 0.41376301646232605]]",['no kill'],['no kill']
22,vod_data/01.04.2019+SF+vs+DAL+BUSAN/345.jpg,"[['widow', 0.413770467042923]]","[['widow', 0.413770467042923]]",['no kill'],['no kill']
23,vod_data/01.04.2019+SF+vs+DAL+BUSAN/360.jpg,"[['widow', 0.413770467042923]]","[['widow', 0.413770467042923]]",['no kill'],['no kill']
24,vod_data/01.04.2019+SF+vs+DAL+BUSAN/375.jpg,"[['widow', 0.413770467042923]]","[['widow', 0.413770467042923]]",['no kill'],['no kill']
25,vod_data/01.04.2019+SF+vs+DAL+BUSAN/390.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
26,vod_data/01.04.2019+SF+vs+DAL+BUSAN/405.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
27,vod_data/01.04.2019+SF+vs+DAL+BUSAN/420.jpg,"[['widow', 0.4136851131916046]]","[['widow', 0.4136851131916046]]",['no kill'],['no kill']
28,vod_data/01.04.2019+SF+vs+DAL+BUSAN/435.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
29,vod_data/01.04.2019+SF+vs+DAL+BUSAN/450.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
30,vod_data/01.04.2019+SF+vs+DAL+BUSAN/465.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
31,vod_data/01.04.2019+SF+vs+DAL+BUSAN/480.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
32,vod_data/01.04.2019+SF+vs+DAL+BUSAN/495.jpg,"[['widow', 0.413750022649765]]","[['widow', 0.413750022649765]]",['no kill'],['no kill']
33,vod_data/01.04.2019+SF+vs+DAL+BUSAN/510.jpg,"[['widow', 0.4204867482185364]]","[['widow', 0.4204867482185364]]",['no kill'],['no kill']
34,vod_data/01.04.2019+SF+vs+DAL+BUSAN/525.jpg,"[['widow', 0.4160616397857666]]","[['widow', 0.4160616397857666]]",['no kill'],['no kill']
35,vod_data/01.04.2019+SF+vs+DAL+BUSAN/540.jpg,"[['widow', 0.4160616397857666]]","[['widow', 0.4160616397857666]]",['no kill'],['no kill']
36,vod_data/01.04.2019+SF+vs+DAL+BUSAN/555.jpg,"[['widow', 0.4149104058742523]]","[['widow', 0.4149104058742523]]",['no kill'],['no kill']
37,vod_data/01.04.2019+SF+vs+DAL+BUSAN/570.jpg,"[['widow', 0.4149104058742523]]","[['widow', 0.4149104058742523]]",['no kill'],['no kill']
38,vod_data/01.04.2019+SF+vs+DAL+BUSAN/585.jpg,"[['widow', 0.41611427068710327]]","[['widow', 0.41611427068710327]]",['no kill'],['no kill']
39,vod_data/01.04.2019+SF+vs+DAL+BUSAN/600.jpg,"[['widow', 0.4201492369174957]]","[['widow', 0.4201492369174957]]",['no kill'],['no kill']
40,vod_data/01.04.2019+SF+vs+DAL+BUSAN/615.jpg,"[['widow', 0.41376423835754395]]","[['widow', 0.41376423835754395]]",['no kill'],['no kill']
41,vod_data/01.04.2019+SF+vs+DAL+BUSAN/630.jpg,"[['widow', 0.4119102358818054]]","[['widow', 0.4119102358818054]]",['no kill'],['no kill']
42,vod_data/01.04.2019+SF+vs+DAL+BUSAN/645.jpg,"[['widow', 0.41162410378456116]]","[['widow', 0.41162410378456116]]",['no kill'],['no kill']
43,vod_data/01.04.2019+SF+vs+DAL+BUSAN/660.jpg,"[['widow', 0.4154224991798401]]","[['widow', 0.4154224991798401]]",['no kill'],['no kill']
44,vod_data/01.04.2019+SF+vs+DAL+BUSAN/675.jpg,"[['widow', 0.41531282663345337]]","[['widow', 0.41531282663345337]]",['no kill'],['no kill']
45,vod_data/01.04.2019+SF+vs+DAL+BUSAN/690.jpg,"[['widow', 0.4170333445072174]]","[['widow', 0.4170333445072174]]",['no kill'],['no kill']
46,vod_data/01.04.2019+SF+vs+DAL+BUSAN/705.jpg,"[['widow', 0.4170333445072174]]","[['widow', 0.4170333445072174]]",['no kill'],['no kill']
47,vod_data/01.04.2019+SF+vs+DAL+BUSAN/720.jpg,"[['widow', 0.4170333445072174]]","[['widow', 0.4170333445072174]]",['no kill'],['no kill']
48,vod_data/01.04.2019+SF+vs+DAL+BUSAN/735.jpg,"[['widow', 0.4170333445072174]]","[['widow', 0.4170333445072174]]",['no kill'],['no kill']
49,vod_data/01.04.2019+SF+vs+DAL+BUSAN/750.jpg,"[['widow', 0.415347695350647]]","[['widow', 0.415347695350647]]",['no kill'],['no kill']
50,vod_data/01.04.2019+SF+vs+DAL+BUSAN/765.jpg,"[['widow', 0.4160647690296173]]","[['widow', 0.4160647690296173]]",['no kill'],['no kill']
