,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
0,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15.jpg,"[['baptiste', 0.44502824544906616]]","[['baptiste', 0.44502824544906616]]",['no kill'],['no kill']
1,vod_data/01.04.2019+SF+vs+DAL+RIALTO/30.jpg,"[['baptiste', 0.44502824544906616]]","[['baptiste', 0.44502824544906616]]",['no kill'],['no kill']
2,vod_data/01.04.2019+SF+vs+DAL+RIALTO/45.jpg,"[['baptiste', 0.36980095505714417]]","[['baptiste', 0.36980095505714417]]",['no kill'],['no kill']
3,vod_data/01.04.2019+SF+vs+DAL+RIALTO/60.jpg,"[['zarya', 0.7613227963447571]]","[['zarya', 0.7613227963447571]]",['no kill'],['no kill']
4,vod_data/01.04.2019+SF+vs+DAL+RIALTO/75.jpg,"[['zarya', 0.9106588959693909]]","[['zarya', 0.9106588959693909]]",['no kill'],['no kill']
5,vod_data/01.04.2019+SF+vs+DAL+RIALTO/90.jpg,"[['zarya', 0.9184898138046265]]","[['zarya', 0.9184898138046265]]",['no kill'],['no kill']
6,vod_data/01.04.2019+SF+vs+DAL+RIALTO/105.jpg,"[['zarya', 0.9265666604042053]]","[['zarya', 0.9265666604042053]]",['no kill'],['no kill']
7,vod_data/01.04.2019+SF+vs+DAL+RIALTO/120.jpg,"[['zarya', 0.926362931728363]]","[['zarya', 0.926362931728363]]",['no kill'],['no kill']
8,vod_data/01.04.2019+SF+vs+DAL+RIALTO/135.jpg,"[['zarya', 0.9218699336051941]]","[['zarya', 0.9218699336051941]]",['no kill'],['no kill']
9,vod_data/01.04.2019+SF+vs+DAL+RIALTO/150.jpg,"[['zarya', 0.9187840819358826]]","[['zarya', 0.9187840819358826]]",['no kill'],['no kill']
10,vod_data/01.04.2019+SF+vs+DAL+RIALTO/165.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
11,vod_data/01.04.2019+SF+vs+DAL+RIALTO/180.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
12,vod_data/01.04.2019+SF+vs+DAL+RIALTO/195.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
13,vod_data/01.04.2019+SF+vs+DAL+RIALTO/210.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
14,vod_data/01.04.2019+SF+vs+DAL+RIALTO/225.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
15,vod_data/01.04.2019+SF+vs+DAL+RIALTO/240.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
16,vod_data/01.04.2019+SF+vs+DAL+RIALTO/255.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
17,vod_data/01.04.2019+SF+vs+DAL+RIALTO/270.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
18,vod_data/01.04.2019+SF+vs+DAL+RIALTO/285.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
19,vod_data/01.04.2019+SF+vs+DAL+RIALTO/300.jpg,"[['zarya', 0.9214991927146912]]","[['zarya', 0.9214991927146912]]",['no kill'],['no kill']
20,vod_data/01.04.2019+SF+vs+DAL+RIALTO/315.jpg,"[['zarya', 0.9215523600578308]]","[['zarya', 0.9215523600578308]]",['no kill'],['no kill']
21,vod_data/01.04.2019+SF+vs+DAL+RIALTO/330.jpg,"[['zarya', 0.9213035702705383]]","[['zarya', 0.9213035702705383]]",['no kill'],['no kill']
22,vod_data/01.04.2019+SF+vs+DAL+RIALTO/345.jpg,"[['zarya', 0.9213035702705383]]","[['zarya', 0.9213035702705383]]",['no kill'],['no kill']
