,Date,Opponent,Map,Roundtype,Length,L Players,L Heroes,R Players,R Heroes,First Blood,Winner,L Kill #,R Kill #,L # Ults Used,R # Ults Used,Total Kill Sequence,L Kill Sequence,R Kill Sequence,Total Death Sequence,L Death Sequence,R Death Sequence,L Ult Sequence,R Ult Sequence
0,4/1/2019,DAL,RIALTO,DEFENSE,0.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",0,1,1,0,"[['PERALTA', 'dva']]",[],"[['PERALTA', 'dva']]","[['SUPER', 'reinhardt']]","[['SUPER', 'reinhardt']]",[],"[['RASCAL', 'baptiste']]",[]
1,4/1/2019,DAL,RIALTO,DEFENSE,16.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",0,5,3,3,"[['AKM', 'zarya'], ['OGE', 'reinhardt'], ['PERALTA', 'dva'], ['OGE', 'reinhardt'], ['GOOS', 'lucio']]",[],"[['AKM', 'zarya'], ['OGE', 'reinhardt'], ['PERALTA', 'dva'], ['OGE', 'reinhardt'], ['GOOS', 'lucio']]","[['CHOIHYOBIN', 'dva'], ['NIGHTHAWK', 'zenyatta'], ['MOTH', 'lucio'], ['RASCAL', 'baptiste'], ['SINATRAA', 'zarya']]","[['CHOIHYOBIN', 'dva'], ['NIGHTHAWK', 'zenyatta'], ['MOTH', 'lucio'], ['RASCAL', 'baptiste'], ['SINATRAA', 'zarya']]",[],"[['NIGHTHAWK', 'zenyatta'], ['SINATRAA', 'zarya'], ['MOTH', 'lucio']]","[['AKM', 'zarya'], ['UNKOE', 'zenyatta'], ['OGE', 'reinhardt']]"
2,4/1/2019,DAL,RIALTO,DEFENSE,3.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",0,1,1,2,"[['AKM', 'zarya']]",[],"[['AKM', 'zarya']]","[['SUPER', 'reinhardt']]","[['SUPER', 'reinhardt']]",[],"[['RASCAL', 'baptiste']]","[['GOOS', 'lucio'], ['OGE', 'reinhardt']]"
3,4/1/2019,DAL,RIALTO,DEFENSE,15.0,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",6,0,1,1,"[['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta'], ['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya'], ['SUPER', 'reinhardt']]","[['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta'], ['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya'], ['SUPER', 'reinhardt']]",[],"[['ZACHAREEE', 'baptiste'], ['OGE', 'reinhardt'], ['AKM', 'zarya'], ['UNKOE', 'zenyatta'], ['PERALTA', 'dva'], ['GOOS', 'lucio']]",[],"[['ZACHAREEE', 'baptiste'], ['OGE', 'reinhardt'], ['AKM', 'zarya'], ['UNKOE', 'zenyatta'], ['PERALTA', 'dva'], ['GOOS', 'lucio']]","[['NIGHTHAWK', 'zenyatta']]","[['AKM', 'zarya']]"
4,4/1/2019,DAL,RIALTO,DEFENSE,4.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",0,1,1,1,"[['GOOS', 'lucio']]",[],"[['GOOS', 'lucio']]","[['SUPER', 'reinhardt']]","[['SUPER', 'reinhardt']]",[],"[['RASCAL', 'baptiste']]","[['ZACHAREEE', 'baptiste']]"
5,4/1/2019,DAL,RIALTO,DEFENSE,52.25,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",2,8,5,8,"[['UNKOE', 'zenyatta'], ['AKM', 'zarya'], ['MOTH', 'lucio'], ['NIGHTHAWK', 'zenyatta'], ['PERALTA', 'dva'], ['GOOS', 'lucio'], ['ZACHAREEE', 'baptiste'], ['OGE', 'hammond'], ['ZACHAREEE', 'baptiste'], ['UNKOE', 'zenyatta']]","[['MOTH', 'lucio'], ['NIGHTHAWK', 'zenyatta']]","[['UNKOE', 'zenyatta'], ['AKM', 'zarya'], ['PERALTA', 'dva'], ['GOOS', 'lucio'], ['ZACHAREEE', 'baptiste'], ['OGE', 'hammond'], ['ZACHAREEE', 'baptiste'], ['UNKOE', 'zenyatta']]","[['SINATRAA', 'zarya'], ['RASCAL', 'baptiste'], ['OGE', 'reinhardt'], ['UNKOE', 'zenyatta'], ['SUPER', 'reinhardt'], ['MOTH', 'lucio'], ['NIGHTHAWK', 'zenyatta'], ['SINATRAA', 'zarya'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt']]","[['SINATRAA', 'zarya'], ['RASCAL', 'baptiste'], ['SUPER', 'reinhardt'], ['MOTH', 'lucio'], ['NIGHTHAWK', 'zenyatta'], ['SINATRAA', 'zarya'], ['CHOIHYOBIN', 'dva'], ['SUPER', 'reinhardt']]","[['OGE', 'reinhardt'], ['UNKOE', 'zenyatta']]","[['SINATRAA', 'zarya'], ['MOTH', 'lucio'], ['SUPER', 'reinhardt'], ['NIGHTHAWK', 'zenyatta'], ['CHOIHYOBIN', 'dva']]","[['PERALTA', 'dva'], ['UNKOE', 'zenyatta'], ['OGE', 'reinhardt'], ['AKM', 'zarya'], ['GOOS', 'lucio'], ['PERALTA', 'dva'], ['ZACHAREEE', 'baptiste'], ['PERALTA', 'dva']]"
6,4/1/2019,DAL,RIALTO,DEFENSE,34.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['hammond', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",1,5,3,1,"[['PERALTA', 'dva'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste'], ['AKM', 'zarya'], ['OGE', 'hammond'], ['CHOIHYOBIN', 'dva']]","[['CHOIHYOBIN', 'dva']]","[['PERALTA', 'dva'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste'], ['AKM', 'zarya'], ['OGE', 'hammond']]","[['MOTH', 'lucio'], ['CHOIHYOBIN', 'dva'], ['RASCAL', 'baptiste'], ['SUPER', 'reinhardt'], ['NIGHTHAWK', 'zenyatta'], ['AKM', 'zarya']]","[['MOTH', 'lucio'], ['CHOIHYOBIN', 'dva'], ['RASCAL', 'baptiste'], ['SUPER', 'reinhardt'], ['NIGHTHAWK', 'zenyatta']]","[['AKM', 'zarya']]","[['RASCAL', 'baptiste'], ['NIGHTHAWK', 'zenyatta'], ['SINATRAA', 'zarya']]","[['PERALTA', 'dva']]"
7,4/1/2019,DAL,RIALTO,DEFENSE,31.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']",5,2,0,1,"[['SUPER', 'reinhardt'], ['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta'], ['PERALTA', 'dva'], ['SINATRAA', 'zarya'], ['UNKOE', 'zenyatta'], ['SINATRAA', 'zarya']]","[['SUPER', 'reinhardt'], ['SINATRAA', 'zarya'], ['NIGHTHAWK', 'zenyatta'], ['SINATRAA', 'zarya'], ['SINATRAA', 'zarya']]","[['PERALTA', 'dva'], ['UNKOE', 'zenyatta']]","[['OGE', 'reinhardt'], ['AKM', 'zarya'], ['ZACHAREEE', 'baptiste'], ['MOTH', 'lucio'], ['OGE', 'reinhardt'], ['RASCAL', 'baptiste'], ['GOOS', 'lucio']]","[['MOTH', 'lucio'], ['RASCAL', 'baptiste']]","[['OGE', 'reinhardt'], ['AKM', 'zarya'], ['ZACHAREEE', 'baptiste'], ['OGE', 'reinhardt'], ['GOOS', 'lucio']]",[],"[['UNKOE', 'zenyatta']]"
8,4/1/2019,DAL,RIALTO,DEFENSE,6.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",0,1,3,3,"[['PERALTA', 'dva']]",[],"[['PERALTA', 'dva']]","[['RASCAL', 'baptiste']]","[['RASCAL', 'baptiste']]",[],"[['SUPER', 'reinhardt'], ['RASCAL', 'baptiste'], ['CHOIHYOBIN', 'dva']]","[['ZACHAREEE', 'baptiste'], ['AKM', 'zarya'], ['PERALTA', 'dva']]"
9,4/1/2019,DAL,RIALTO,DEFENSE,20.75,"['SUPER', 'CHOIHYOBIN', 'SINATRAA', 'RASCAL', 'MOTH', 'NIGHTHAWK']","['reinhardt', 'dva', 'zarya', 'baptiste', 'lucio', 'zenyatta']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['reinhardt', 'dva', 'zarya', 'baptiste', 'zenyatta', 'lucio']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']","['OGE', 'PERALTA', 'AKM', 'ZACHAREEE', 'UNKOE', 'GOOS']",0,5,1,2,"[['PERALTA', 'dva'], ['UNKOE', 'zenyatta'], ['GOOS', 'lucio'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste']]",[],"[['PERALTA', 'dva'], ['UNKOE', 'zenyatta'], ['GOOS', 'lucio'], ['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste']]","[['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya'], ['MOTH', 'lucio']]","[['NIGHTHAWK', 'zenyatta'], ['SUPER', 'reinhardt'], ['CHOIHYOBIN', 'dva'], ['SINATRAA', 'zarya'], ['MOTH', 'lucio']]",[],"[['SINATRAA', 'zarya']]","[['UNKOE', 'zenyatta'], ['ZACHAREEE', 'baptiste']]"
