,Images,Kills,Deaths,Kills_Colors,Deaths_Colors
0,vod_data/01.04.2019+SF+vs+DAL+RIALTO/15.jpg,"['baptiste', 0.4401569366455078]","['baptiste', 0.4401569366455078]",no kill,no kill
1,vod_data/01.04.2019+SF+vs+DAL+RIALTO/30.jpg,"['baptiste', 0.4401569366455078]","['baptiste', 0.4401569366455078]",no kill,no kill
2,vod_data/01.04.2019+SF+vs+DAL+RIALTO/45.jpg,"['baptiste', 0.36980098485946655]","['baptiste', 0.36980098485946655]",no kill,no kill
3,vod_data/01.04.2019+SF+vs+DAL+RIALTO/60.jpg,"['zarya', 0.7606945037841797]","['zarya', 0.7606945037841797]",no kill,no kill
4,vod_data/01.04.2019+SF+vs+DAL+RIALTO/75.jpg,"['zarya', 0.9156412482261658]","['zarya', 0.9156412482261658]",no kill,no kill
5,vod_data/01.04.2019+SF+vs+DAL+RIALTO/90.jpg,"['zarya', 0.9183064103126526]","['zarya', 0.9183064103126526]",no kill,no kill
6,vod_data/01.04.2019+SF+vs+DAL+RIALTO/105.jpg,"['zarya', 0.9245303869247437]","['zarya', 0.9245303869247437]",no kill,no kill
7,vod_data/01.04.2019+SF+vs+DAL+RIALTO/120.jpg,"['zarya', 0.9230380654335022]","['zarya', 0.9230380654335022]",no kill,no kill
8,vod_data/01.04.2019+SF+vs+DAL+RIALTO/135.jpg,"['zarya', 0.918502688407898]","['zarya', 0.918502688407898]",no kill,no kill
9,vod_data/01.04.2019+SF+vs+DAL+RIALTO/150.jpg,"['zarya', 0.9172467589378357]","['zarya', 0.9172467589378357]",no kill,no kill
10,vod_data/01.04.2019+SF+vs+DAL+RIALTO/165.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
11,vod_data/01.04.2019+SF+vs+DAL+RIALTO/180.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
12,vod_data/01.04.2019+SF+vs+DAL+RIALTO/195.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
13,vod_data/01.04.2019+SF+vs+DAL+RIALTO/210.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
14,vod_data/01.04.2019+SF+vs+DAL+RIALTO/225.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
15,vod_data/01.04.2019+SF+vs+DAL+RIALTO/240.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
16,vod_data/01.04.2019+SF+vs+DAL+RIALTO/255.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
17,vod_data/01.04.2019+SF+vs+DAL+RIALTO/270.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
18,vod_data/01.04.2019+SF+vs+DAL+RIALTO/285.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
19,vod_data/01.04.2019+SF+vs+DAL+RIALTO/300.jpg,"['zarya', 0.9189878106117249]","['zarya', 0.9189878106117249]",no kill,no kill
20,vod_data/01.04.2019+SF+vs+DAL+RIALTO/315.jpg,"['zarya', 0.9191154837608337]","['zarya', 0.9191154837608337]",no kill,no kill
21,vod_data/01.04.2019+SF+vs+DAL+RIALTO/330.jpg,"['zarya', 0.9187511801719666]","['zarya', 0.9187511801719666]",no kill,no kill
22,vod_data/01.04.2019+SF+vs+DAL+RIALTO/345.jpg,"['zarya', 0.9187511801719666]","['zarya', 0.9187511801719666]",no kill,no kill
23,vod_data/01.04.2019+SF+vs+DAL+RIALTO/360.jpg,"['zarya', 0.9190047383308411]","['zarya', 0.9190047383308411]",no kill,no kill
24,vod_data/01.04.2019+SF+vs+DAL+RIALTO/375.jpg,"['zarya', 0.9191318154335022]","['zarya', 0.9191318154335022]",no kill,no kill
25,vod_data/01.04.2019+SF+vs+DAL+RIALTO/390.jpg,"['zarya', 0.9187675714492798]","['zarya', 0.9187675714492798]",no kill,no kill
26,vod_data/01.04.2019+SF+vs+DAL+RIALTO/405.jpg,"['zarya', 0.920788586139679]","['zarya', 0.920788586139679]",no kill,no kill
27,vod_data/01.04.2019+SF+vs+DAL+RIALTO/420.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
28,vod_data/01.04.2019+SF+vs+DAL+RIALTO/435.jpg,"['zarya', 0.920935869216919]","['zarya', 0.920935869216919]",no kill,no kill
29,vod_data/01.04.2019+SF+vs+DAL+RIALTO/450.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
30,vod_data/01.04.2019+SF+vs+DAL+RIALTO/465.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
31,vod_data/01.04.2019+SF+vs+DAL+RIALTO/480.jpg,"['zarya', 0.9209818840026855]","['zarya', 0.9209818840026855]",no kill,no kill
32,vod_data/01.04.2019+SF+vs+DAL+RIALTO/495.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
33,vod_data/01.04.2019+SF+vs+DAL+RIALTO/510.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
34,vod_data/01.04.2019+SF+vs+DAL+RIALTO/525.jpg,"['zarya', 0.9209818840026855]","['zarya', 0.9209818840026855]",no kill,no kill
35,vod_data/01.04.2019+SF+vs+DAL+RIALTO/540.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
36,vod_data/01.04.2019+SF+vs+DAL+RIALTO/555.jpg,"['zarya', 0.920935869216919]","['zarya', 0.920935869216919]",no kill,no kill
37,vod_data/01.04.2019+SF+vs+DAL+RIALTO/570.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
38,vod_data/01.04.2019+SF+vs+DAL+RIALTO/585.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
39,vod_data/01.04.2019+SF+vs+DAL+RIALTO/600.jpg,"['zarya', 0.9209818840026855]","['zarya', 0.9209818840026855]",no kill,no kill
40,vod_data/01.04.2019+SF+vs+DAL+RIALTO/615.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
41,vod_data/01.04.2019+SF+vs+DAL+RIALTO/630.jpg,"['zarya', 0.9208133816719055]","['zarya', 0.9208133816719055]",no kill,no kill
42,vod_data/01.04.2019+SF+vs+DAL+RIALTO/645.jpg,"['zarya', 0.9209818840026855]","['zarya', 0.9209818840026855]",no kill,no kill
43,vod_data/01.04.2019+SF+vs+DAL+RIALTO/660.jpg,"['zarya', 0.9190900325775146]","['zarya', 0.9190900325775146]",no kill,no kill
44,vod_data/01.04.2019+SF+vs+DAL+RIALTO/675.jpg,"['zarya', 0.9190900325775146]","['zarya', 0.9190900325775146]",no kill,no kill
